codigo,codigo_departamento,nombre
44378,44,HATONUEVO
5347,5,HELICONIA
54347,54,HERRÁN
73347,73,HERVEO
5353,5,HISPANIA
41349,41,HOBO
73349,73,HONDA
73001,73,IBAGUÉ
73352,73,ICONONZO
52352,52,ILES
52354,52,IMUÉS
94001,94,INÍRIDA
19355,19,INZÁ
52356,52,IPIALES
41357,41,IQUIRA
41359,41,ISNOS
27361,27,ISTMINA
5360,5,ITAGUI
5361,5,ITUANGO
15362,15,IZA
19364,19,JAMBALÓ
76364,76,JAMUNDÍ
5364,5,JARDÍN
15367,15,JENESANO
5368,5,JERICÓ
15368,15,JERICÓ
25368,25,JERUSALÉN
68368,68,JESÚS MARÍA
68370,68,JORDÁN
8372,8,JUAN DE ACOSTA
25372,25,JUNÍN
27372,27,JURADÓ
23350,23,LA APARTADA
41378,41,LA ARGENTINA
68377,68,LA BELLEZA
25377,25,LA CALERA
15380,15,LA CAPILLA
5376,5,LA CEJA
66383,66,LA CELIA
91405,91,LA CHORRERA
52378,52,LA CRUZ
76377,76,LA CUMBRE
17380,17,LA DORADA
54385,54,LA ESPERANZA
5380,5,LA ESTRELLA
52381,52,LA FLORIDA
20383,20,LA GLORIA
94885,94,LA GUADALUPE
20400,20,LA JAGUA DE IBIRICO
44420,44,LA JAGUA DEL PILAR
52385,52,LA LLANADA
50350,50,LA MACARENA
17388,17,LA MERCED
25386,25,LA MESA
18410,18,LA MONTAÑITA
25394,25,LA PALMA
20621,20,LA PAZ
68397,68,LA PAZ
91407,91,LA PEDRERA
25398,25,LA PEÑA
5390,5,LA PINTADA
41396,41,LA PLATA
54398,54,LA PLAYA
99524,99,LA PRIMAVERA
85136,85,LA SALINA
19392,19,LA SIERRA
63401,63,LA TEBAIDA
52390,52,LA TOLA
5400,5,LA UNIÓN
52399,52,LA UNIÓN
70400,70,LA UNIÓN
76400,76,LA UNIÓN
15403,15,LA UVITA
19397,19,LA VEGA
25402,25,LA VEGA
15401,15,LA VICTORIA
91430,91,LA VICTORIA
76403,76,LA VICTORIA
66400,66,LA VIRGINIA
54377,54,LABATECA
15377,15,LABRANZAGRANDE
68385,68,LANDÁZURI
68406,68,LEBRÍJA
86573,86,LEGUÍZAMO
52405,52,LEIVA
50400,50,LEJANÍAS
25407,25,LENGUAZAQUE
73408,73,LÉRIDA
91001,91,LETICIA
73411,73,LÍBANO
5411,5,LIBORINA
52411,52,LINARES
27413,27,LLORÓ
19418,19,LÓPEZ
23417,23,LORICA
52418,52,LOS ANDES
23419,23,LOS CÓRDOBAS
70418,70,LOS PALMITOS
54405,54,LOS PATIOS
68418,68,LOS SANTOS
54418,54,LOURDES
8421,8,LURUACO
15425,15,MACANAL
68425,68,MACARAVITA
5425,5,MACEO
25426,25,MACHETA
25430,25,MADRID
13430,13,MAGANGUÉ
52427,52,MAGÜÍ
13433,13,MAHATES
44430,44,MAICAO
70429,70,MAJAGUAL
68432,68,MÁLAGA
8433,8,MALAMBO
52435,52,MALLAMA
8436,8,MANATÍ
20443,20,MANAURE
